"created_at","count"
"2016-02-10","9"
"2016-02-11","20"
"2016-02-12","13"
"2016-02-13","1"
"2016-02-15","9"
"2016-02-16","18"
"2016-02-17","15"
"2016-02-18","14"
"2016-02-19","9"
"2016-02-22","17"
"2016-02-23","19"
"2016-02-24","20"
"2016-02-25","17"
"2016-02-26","11"
"2016-02-29","11"
"2016-03-01","18"
"2016-03-02","15"
"2016-03-03","18"
"2016-03-04","11"
"2016-03-07","15"
"2016-03-08","12"
"2016-03-09","13"
"2016-03-10","12"
"2016-03-11","8"
"2016-03-14","16"
"2016-03-15","25"
"2016-03-16","11"
"2016-03-17","14"
"2016-03-21","14"
"2016-03-22","15"
"2016-03-23","16"
"2016-03-24","18"
"2016-03-25","7"
"2016-03-29","8"
"2016-03-30","12"
"2016-03-31","7"
"2016-04-01","13"
"2016-04-04","7"
"2016-04-05","5"
"2016-04-06","13"
"2016-04-07","22"
"2016-04-08","6"
"2016-04-11","14"
"2016-04-12","16"
"2016-04-13","13"
"2016-04-14","14"
"2016-04-15","11"
"2016-04-18","14"
"2016-04-19","12"
"2016-04-20","7"
"2016-04-21","6"
"2016-04-25","15"
"2016-04-26","17"
"2016-04-27","14"
"2016-04-28","15"
"2016-04-29","8"
"2016-05-02","16"
"2016-05-03","17"
"2016-05-04","9"
"2016-05-09","13"
"2016-05-10","11"
"2016-05-11","16"
"2016-05-12","15"
"2016-05-13","6"
"2016-05-17","8"
"2016-05-18","2"
"2016-05-19","4"
"2016-05-20","1"
"2016-05-23","4"
"2016-05-24","2"
"2016-05-25","5"
"2016-05-26","3"
"2016-05-27","6"
"2016-05-30","4"
"2016-05-31","5"
"2016-06-01","2"
"2016-06-02","5"
"2016-06-03","1"
"2016-06-06","3"
"2016-06-07","5"
"2016-06-08","4"
"2016-06-09","6"
"2016-06-10","3"
"2016-06-13","5"
"2016-06-14","4"
"2016-06-15","3"
"2016-06-16","7"
"2016-06-17","3"
"2016-06-20","5"
"2016-06-21","10"
"2016-06-22","8"
"2016-06-23","4"
"2016-06-24","8"
"2016-06-27","10"
"2016-06-28","4"
"2016-06-29","6"
"2016-06-30","2"
"2016-07-01","2"
"2016-07-04","1"
"2016-07-05","9"
"2016-07-06","5"
"2016-07-07","6"
"2016-07-08","2"
"2016-07-12","10"
"2016-07-13","2"
"2016-07-14","2"
"2016-07-15","2"
"2016-07-25","5"
"2016-07-26","11"
"2016-07-27","7"
"2016-07-28","4"
"2016-07-29","4"
"2016-08-01","6"
"2016-08-02","12"
"2016-08-03","6"
"2016-08-04","9"
"2016-08-05","4"
"2016-08-08","10"
"2016-08-09","11"
"2016-08-10","6"
"2016-08-11","5"
"2016-08-12","8"
"2016-08-16","13"
"2016-08-17","3"
"2016-08-18","2"
"2016-08-19","4"
"2016-08-22","3"
"2016-08-23","11"
"2016-08-24","2"
"2016-08-25","8"
"2016-08-26","9"
"2016-08-29","7"
"2016-08-30","9"
"2016-08-31","6"
"2016-09-01","5"
"2016-09-02","5"
"2016-09-05","4"
"2016-09-06","10"
"2016-09-07","5"
"2016-09-08","6"
"2016-09-09","9"
"2016-09-12","9"
"2016-09-13","15"
"2016-09-14","6"
"2016-09-15","9"
"2016-09-16","5"
"2016-09-19","1"
"2016-09-20","10"
"2016-09-21","2"
"2016-09-22","5"
"2016-09-23","9"
"2016-09-26","4"
"2016-09-27","12"
"2016-09-28","2"
"2016-09-29","8"
"2016-09-30","6"
"2016-10-03","19"
"2016-10-04","9"
"2016-10-05","14"
"2016-10-06","15"
"2016-10-07","5"
"2016-10-10","12"
"2016-10-11","11"
"2016-10-12","14"
"2016-10-13","14"
"2016-10-14","11"
"2016-10-17","13"
"2016-10-18","14"
"2016-10-19","15"
"2016-10-20","18"
"2016-10-21","11"
"2016-10-24","13"
"2016-10-25","9"
"2016-10-26","16"
"2016-10-27","5"
"2016-10-28","6"
"2016-11-01","4"
"2016-11-02","1"
"2016-11-03","13"
"2016-11-04","7"
"2016-11-05","2"
"2016-11-07","16"
"2016-11-08","15"
"2016-11-09","13"
"2016-11-10","14"
"2016-11-14","13"
"2016-11-16","10"
"2016-11-17","10"
"2016-11-18","8"
"2016-11-21","11"
"2016-11-22","8"
"2016-11-23","10"
"2016-11-24","15"
"2016-11-25","8"
"2016-11-28","10"
"2016-11-29","11"
"2016-11-30","15"
"2016-12-01","12"
"2016-12-02","5"
"2016-12-05","9"
"2016-12-06","17"
"2016-12-07","15"
"2016-12-08","14"
"2016-12-09","10"
"2016-12-12","16"
"2016-12-13","15"
"2016-12-14","13"
"2016-12-15","14"
"2016-12-16","13"
"2016-12-19","8"
"2016-12-20","8"
"2016-12-21","6"
"2016-12-22","8"
"2016-12-23","7"
"2016-12-26","1"
"2017-01-03","2"
"2017-01-04","4"
"2017-01-05","4"
"2017-01-06","1"
"2017-01-09","2"
"2017-01-10","4"
"2017-01-11","1"
"2017-01-12","6"
"2017-01-13","1"
"2017-01-16","4"
"2017-01-17","2"
"2017-01-18","3"
"2017-01-19","3"
"2017-01-20","1"
"2017-01-23","7"
"2017-01-24","6"
"2017-01-25","4"
"2017-01-26","1"
"2017-01-27","4"
"2017-01-30","3"
"2017-01-31","5"
"2017-02-01","5"
"2017-02-02","2"
"2017-02-03","1"
"2017-02-06","11"
"2017-02-07","3"
"2017-02-08","2"
"2017-02-09","5"
"2017-02-10","4"
"2017-02-13","11"
"2017-02-14","11"
"2017-02-15","7"
"2017-02-16","9"
"2017-02-17","6"
"2017-02-20","12"
"2017-02-21","15"
"2017-02-22","10"
"2017-02-23","15"
"2017-02-24","7"
"2017-02-27","7"
"2017-02-28","14"
"2017-03-01","15"
"2017-03-02","13"
"2017-03-03","5"
"2017-03-06","11"
"2017-03-07","16"
"2017-03-08","16"
"2017-03-09","9"
"2017-03-10","4"
"2017-03-13","13"
"2017-03-14","4"
"2017-03-15","5"
"2017-03-16","11"
"2017-03-17","4"
"2017-03-20","11"
"2017-03-21","14"
"2017-03-22","10"
"2017-03-23","9"
"2017-03-27","15"
"2017-03-28","9"
"2017-03-29","15"
"2017-03-30","15"
"2017-03-31","8"
"2017-04-04","11"
"2017-04-05","5"
"2017-04-06","7"
"2017-04-07","1"
"2017-04-10","5"
"2017-04-11","8"
"2017-04-12","7"
"2017-04-13","3"
"2017-04-14","5"
"2017-04-18","9"
"2017-04-19","12"
"2017-04-20","12"
"2017-04-21","10"
"2017-04-24","5"
"2017-04-25","11"
"2017-04-26","8"
"2017-04-27","9"
"2017-04-28","7"
"2017-05-02","15"
"2017-05-03","11"
"2017-05-04","10"
"2017-05-05","9"
"2017-05-08","12"
"2017-05-09","11"
"2017-05-10","5"
"2017-05-11","10"
"2017-05-12","8"
"2017-05-15","12"
"2017-05-16","18"
"2017-05-17","12"
"2017-05-18","17"
"2017-05-19","6"
"2017-05-22","11"
"2017-05-23","8"
"2017-05-24","8"
"2017-05-29","6"
"2017-05-30","3"
"2017-05-31","4"
"2017-06-01","4"
"2017-06-02","8"
"2017-06-06","5"
"2017-06-07","6"
"2017-06-08","3"
"2017-06-09","3"
"2017-06-12","2"
"2017-06-13","2"
"2017-06-14","1"
"2017-06-15","1"
"2017-06-19","2"
"2017-06-20","1"
"2017-06-21","1"
"2017-06-22","2"
"2017-06-23","2"
"2017-06-26","4"
"2017-06-27","2"
"2017-06-28","4"
"2017-06-29","3"
"2017-06-30","3"
"2017-07-03","2"
"2017-07-04","3"
"2017-07-05","6"
"2017-07-06","2"
"2017-07-07","2"
"2017-07-12","2"
"2017-07-13","1"
"2017-07-24","2"
"2017-07-25","1"
"2017-07-26","1"
"2017-07-27","5"
"2017-07-31","11"
"2017-08-01","4"
"2017-08-02","3"
"2017-08-03","3"
"2017-08-04","2"
"2017-08-07","4"
"2017-08-08","5"
"2017-08-09","3"
"2017-08-10","5"
"2017-08-11","2"
"2017-08-15","1"
"2017-08-16","1"
"2017-08-18","1"
"2017-08-29","1"
"2017-08-31","1"
"2017-09-04","1"
"2017-09-05","3"
"2017-09-06","1"
"2017-09-07","6"
"2017-09-08","1"
"2017-09-11","6"
"2017-09-12","3"
"2017-09-13","2"
"2017-09-14","2"
"2017-09-18","6"
"2017-09-19","3"
"2017-09-20","3"
"2017-09-21","2"
"2017-09-22","10"
"2017-09-25","8"
"2017-09-26","4"
"2017-09-27","3"
"2017-09-28","9"
"2017-09-29","3"
"2017-10-02","15"
"2017-10-03","14"
"2017-10-04","12"
"2017-10-05","18"
"2017-10-06","7"
"2017-10-09","10"
"2017-10-10","14"
"2017-10-11","10"
"2017-10-12","19"
"2017-10-13","8"
"2017-10-16","13"
"2017-10-17","11"
"2017-10-18","10"
"2017-10-19","22"
"2017-10-20","7"
"2017-10-23","17"
"2017-10-24","14"
"2017-10-25","13"
"2017-10-26","13"
"2017-10-27","12"
"2017-10-28","2"
"2017-10-30","17"
"2017-10-31","9"
"2017-11-06","14"
"2017-11-07","13"
"2017-11-08","11"
"2017-11-09","13"
"2017-11-10","8"
"2017-11-13","19"
"2017-11-14","11"
"2017-11-16","10"
"2017-11-17","6"
"2017-11-20","20"
"2017-11-21","16"
"2017-11-22","7"
"2017-11-23","10"
"2017-11-24","10"
"2017-11-27","9"
"2017-11-28","7"
"2017-11-29","8"
"2017-11-30","16"
"2017-12-01","2"
"2017-12-04","7"
"2017-12-05","6"
"2017-12-06","10"
"2017-12-07","8"
"2017-12-08","7"
"2017-12-11","11"
"2017-12-12","6"
"2017-12-13","7"
"2017-12-14","7"
"2017-12-15","6"
"2017-12-18","10"
"2017-12-19","14"
"2017-12-20","9"
"2017-12-21","11"
"2017-12-22","5"
"2018-01-02","1"
"2018-01-03","6"
"2018-01-04","2"
"2018-01-05","4"
"2018-01-08","6"
"2018-01-09","1"
"2018-01-10","3"
"2018-01-11","2"
"2018-01-12","4"
"2018-01-15","3"
"2018-01-16","2"
"2018-01-17","4"
"2018-01-18","4"
"2018-01-19","4"
"2018-01-22","2"
"2018-01-23","3"
"2018-01-24","1"
"2018-01-26","1"
"2018-01-29","4"
"2018-01-31","2"
"2018-02-01","2"
"2018-02-08","3"
"2018-02-09","3"
"2018-02-12","9"
"2018-02-13","8"
"2018-02-14","8"
"2018-02-15","17"
"2018-02-16","4"
"2018-02-19","15"
"2018-02-20","13"
"2018-02-21","13"
"2018-02-22","11"
"2018-02-23","5"
"2018-02-26","18"
"2018-02-27","19"
"2018-02-28","18"
"2018-03-01","26"
"2018-03-02","12"
"2018-03-05","12"
"2018-03-06","16"
"2018-03-07","15"
"2018-03-08","13"
"2018-03-09","9"
"2018-03-12","10"
"2018-03-13","13"
"2018-03-14","4"
"2018-03-15","9"
"2018-03-16","11"
"2018-03-19","10"
"2018-03-20","11"
"2018-03-21","12"
"2018-03-22","20"
"2018-03-26","13"
"2018-03-27","14"
"2018-03-28","13"
"2018-03-29","23"
"2018-03-30","3"
"2018-04-03","3"
"2018-04-04","1"
"2018-04-09","4"
"2018-04-10","2"
"2018-04-11","11"
"2018-04-12","2"
"2018-04-13","1"
"2018-04-15","24"
"2018-04-16","18"
"2018-04-17","19"
"2018-04-18","14"
